Key,Text
"LOC_EEX_58","Current Part:"
"LOC_EEX_59","none"
"LOC_EEX_60","Symmetry Method: "
"LOC_EEX_61","Delta amount:"
"LOC_EEX_62","TextField"
"LOC_EEX_63"," amount:"
"LOC_EEX_64","Done"
"LOC_EEX_65","Part Position Info"
"LOC_EEX_66","box"
"LOC_EEX_67","Type: "
"LOC_EEX_68","Attached part:"
"LOC_EEX_69","No part selected"
"LOC_EEX_70","children null"
"LOC_EEX_71","Attach Node #"
"LOC_EEX_72","position "
"LOC_EEX_73","attached part "
"LOC_EEX_74","offset "
"LOC_EEX_75","orientation "
"LOC_EEX_76","part.collider not null"
"LOC_EEX_77","right "
"LOC_EEX_78","up "
"LOC_EEX_79","extents "
"LOC_EEX_80","size "
"LOC_EEX_81","orgPos: "
"LOC_EEX_82","name"
"LOC_EEX_83","direction"
"LOC_EEX_84","position"
"LOC_EEX_85","target"
"LOC_EEX_86","targetPosition"
"LOC_EEX_87","name: "
"LOC_EEX_88","position: "
"LOC_EEX_89","aspect: "
"LOC_EEX_90","orthographic: "
"LOC_EEX_91","comp"
"LOC_EEX_92","Select a new root part"
"LOC_EEX_93","Settings 1"
"LOC_EEX_94","Settings 2"
"LOC_EEX_95","Angle Snap"
"LOC_EEX_96","Version: "
"LOC_EEX_97","Debug Build"
"LOC_EEX_98","_lastKeyPressed: "
"LOC_EEX_99","Message delay:"
"LOC_EEX_100","Max symmetry:"
"LOC_EEX_101","Tap then hold for rapid zoom"
"LOC_EEX_102","ReRoot enabled"
"LOC_EEX_103","Fine Adjust enabled"
"LOC_EEX_104","Anglesnap + Mod Toggles"
"LOC_EEX_105","Cycle Symmetry Mode + Mod Toggles"
"LOC_EEX_106","Click button and press key to change"
"LOC_EEX_107","Waiting for key"
"LOC_EEX_108","Reset Symmetry Mode & Angle Snap keys"
"LOC_EEX_109","Surface attachment:"
"LOC_EEX_110","am"
"LOC_EEX_111","Horizontal Center in Editor:"
"LOC_EEX_112","hc"
"LOC_EEX_113","Vertical snap:"
"LOC_EEX_114","vs"
"LOC_EEX_115","Horizontal snap:"
"LOC_EEX_116","hs"
"LOC_EEX_117","Strut/fuel align:"
"LOC_EEX_118","cpa"
"LOC_EEX_119","Toggle ReRoot:"
"LOC_EEX_120","reroot"
"LOC_EEX_121","Toggle No Offset Limit:"
"LOC_EEX_122","Reset camera:"
"LOC_EEX_123","rc"
"LOC_EEX_124","Zoom Selected:"
"LOC_EEX_125","zs"
"LOC_EEX_126","Fine Adjust Keys"
"LOC_EEX_127","Up:"
"LOC_EEX_128","up"
"LOC_EEX_129","Down:"
"LOC_EEX_130","down"
"LOC_EEX_131","Left:"
"LOC_EEX_132","left"
"LOC_EEX_133","Right:"
"LOC_EEX_134","right"
"LOC_EEX_135","Forward:"
"LOC_EEX_136","fwd"
"LOC_EEX_137","Back:"
"LOC_EEX_138","back"
"LOC_EEX_139","Remove"
"LOC_EEX_140","Add angle: "
"LOC_EEX_141","Add"
"LOC_EEX_142","Defaults"
"LOC_EEX_143","Stock"
"LOC_EEX_144","StockSnap"
"LOC_EEX_145","Save"
"LOC_EEX_146","ASnaps"
"LOC_EEX_147","Editor Extensions"
"LOC_EEX_148","In the VAB, height bottom of vessel is moved to when using the 'b' function to adjust the position"
"LOC_EEX_149","In the SPH, height bottom of vessel is moved to when using the 'b' function to adjust the position"
"LOC_EEX_150","Strutomatic 9000"
"LOC_EEX_151","On"
"LOC_EEX_152","Off"
"LOC_EEX_153","Button"
"LOC_EEX_154","No such field: "
"LOC_EEX_155","No such method: "
"LOC_EEX_156","PRUNE"
"LOC_EEX_157",").symMethod ="
"LOC_EEX_158",").symmetryCounterparts.Count ="
"LOC_EEX_159","Part has no symmetry: "
"LOC_EEX_160","Removing symmetry..."
"LOC_EEX_161","null"
"LOC_EEX_162","ToString"
"LOC_EEX_163","Failed to convert string value """
"LOC_EEX_164",""" to type"
